user_id,item_id,rating
3,1848,5.0
3,466,4.0
3,1106,2.0
3,2173,4.0
3,3235,5.0
3,2739,5.0
3,1025,4.0
3,1124,4.0
3,2743,4.0
3,971,4.0
3,1111,5.0
3,1108,5.0
3,1120,3.0
3,253,5.0
3,3186,4.0
3,1148,5.0
20,1182,3.0
20,2496,3.0
20,3531,1.0
20,2788,5.0
20,3044,3.0
20,2775,3.0
20,3503,5.0
20,582,1.0
20,571,3.0
20,2556,3.0
20,2201,1.0
20,2162,3.0
20,2102,3.0
20,3462,4.0
20,2595,4.0
20,574,3.0
20,1838,1.0
46,2213,3.0
46,579,2.0
46,976,5.0
46,802,4.0
46,841,4.0
46,16,5.0
46,1769,4.0
46,309,4.0
46,1104,4.0
46,33,4.0
46,1017,3.0
46,1123,4.0
46,1118,4.0
46,242,4.0
46,56,3.0
46,1776,4.0
46,1155,4.0
88,1059,1.0
88,513,5.0
88,3622,1.0
88,1848,4.0
88,1008,1.0
88,699,5.0
88,1781,4.0
88,3177,4.0
88,1563,4.0
88,2587,1.0
88,2586,1.0
88,2238,5.0
88,3623,1.0
88,3041,4.0
88,2956,4.0
88,3498,3.0
93,3592,3.0
93,1823,5.0
93,1251,3.0
93,1904,3.0
93,1937,4.0
93,2511,4.0
93,2184,5.0
93,3670,4.0
93,847,4.0
93,1781,4.0
93,1166,3.0
93,1053,4.0
93,1814,2.0
93,2262,4.0
93,1169,4.0
93,2096,5.0
97,2110,3.0
97,1158,5.0
97,1817,2.0
97,2051,3.0
97,1120,3.0
97,859,5.0
97,309,5.0
97,513,5.0
97,287,4.0
97,1052,4.0
97,3341,5.0
97,627,4.0
97,1848,5.0
97,3274,4.0
97,3577,4.0
97,579,3.0
127,2586,5.0
127,466,5.0
127,1158,5.0
127,1954,4.0
127,3508,5.0
127,1190,5.0
127,1120,4.0
127,1157,5.0
127,1788,3.0
127,2338,5.0
127,2455,5.0
127,2740,5.0
127,2858,5.0
127,3085,3.0
127,2587,2.0
127,1979,5.0
127,2651,5.0
157,366,5.0
157,232,4.0
157,882,4.0
157,1839,4.0
157,2512,2.0
157,107,5.0
157,71,4.0
157,1170,5.0
157,1639,5.0
157,3203,4.0
157,2762,4.0
157,851,4.0
157,1160,5.0
157,3471,5.0
157,865,3.0
157,802,5.0
157,1114,4.0
159,3550,3.0
159,1979,3.0
159,2651,4.0
159,2586,3.0
159,1120,3.0
159,3669,5.0
159,1288,3.0
159,3358,4.0
159,3277,3.0
159,1297,4.0
159,1420,3.0
159,1025,3.0
159,466,4.0
159,3555,3.0
159,627,2.0
159,2968,3.0
171,1883,4.0
171,3441,4.0
171,1192,5.0
171,861,3.0
171,1775,3.0
171,3107,4.0
171,1757,3.0
171,2021,4.0
171,1120,3.0
171,1091,5.0
171,852,4.0
171,2775,3.0
171,239,3.0
171,1781,3.0
171,156,4.0
171,3203,3.0
171,1116,2.0
171,869,3.0
196,2081,4.0
196,309,5.0
196,1132,4.0
196,1271,2.0
196,2131,5.0
196,1167,5.0
196,3305,5.0
196,2944,4.0
196,466,3.0
196,1154,5.0
196,1178,2.0
196,1294,3.0
196,3248,4.0
196,258,5.0
196,992,4.0
196,2931,4.0
196,1018,3.0
206,1052,3.0
206,1574,4.0
206,3280,4.0
206,1120,4.0
206,1979,4.0
206,3248,4.0
206,138,5.0
206,3512,3.0
206,11,1.0
206,2586,2.0
206,3550,4.0
206,3321,4.0
206,758,4.0
206,932,4.0
206,2206,4.0
206,3251,1.0
206,3126,3.0
206,3508,4.0
212,10,4.0
212,2162,5.0
212,1173,3.0
212,574,5.0
212,1543,4.0
212,33,3.0
212,1476,5.0
212,799,4.0
212,426,4.0
212,217,5.0
212,1449,4.0
212,253,4.0
212,2238,5.0
212,2128,4.0
212,106,5.0
212,859,4.0
212,2420,4.0
216,1953,2.0
216,3251,1.0
216,466,3.0
216,1158,3.0
216,49,5.0
216,346,4.0
216,1120,3.0
216,2558,5.0
216,2710,5.0
216,3503,5.0
216,2651,4.0
216,3126,2.0
216,627,3.0
216,2110,4.0
216,1485,3.0
216,1029,5.0
225,3206,2.0
225,2586,5.0
225,3132,5.0
225,1097,3.0
225,1154,5.0
225,2332,3.0
225,3200,3.0
225,1788,4.0
225,2511,4.0
225,1780,2.0
225,2534,4.0
225,1215,5.0
225,1588,2.0
225,971,4.0
225,1130,3.0
225,1135,5.0
249,1796,3.0
249,3060,2.0
249,3277,5.0
249,724,3.0
249,2863,3.0
249,2587,3.0
249,627,4.0
249,3220,4.0
249,2651,3.0
249,1025,3.0
249,2586,5.0
249,1157,4.0
249,1052,5.0
249,1356,4.0
249,346,4.0
249,1124,4.0
276,284,4.0
276,2426,4.0
276,579,4.0
276,2557,5.0
276,1449,4.0
276,2099,3.0
276,2958,3.0
276,3024,2.0
276,1107,4.0
276,1173,4.0
276,2374,5.0
276,16,4.0
276,346,4.0
276,24,2.0
276,1120,4.0
276,1563,4.0
276,2708,3.0
310,2754,1.0
310,2940,4.0
310,466,5.0
310,287,4.0
310,1154,5.0
310,1574,4.0
310,1199,4.0
