user_id,item_id,rating
102,9252,4.0
102,1029,5.0
102,10860,4.0
102,10862,5.0
370,34415,5.0
370,10096,5.0
370,34414,5.0
370,34413,5.0
455,7225,4.0
455,2280,4.0
455,2041,3.0
455,38708,4.0
535,26979,4.0
535,11870,5.0
535,6731,5.0
535,6713,3.0
562,11863,4.0
562,4411,3.0
562,42169,4.0
562,6932,5.0
569,12057,5.0
569,2454,1.0
569,2263,5.0
569,8282,5.0
597,44043,4.0
597,44041,5.0
597,44042,5.0
597,44044,5.0
618,44328,4.0
618,15731,4.0
618,44327,5.0
618,37179,4.0
685,45916,5.0
685,45917,5.0
685,5513,4.0
685,45919,5.0
691,41357,5.0
691,45969,5.0
691,45970,5.0
691,19143,5.0
704,46379,5.0
704,46381,5.0
704,46376,4.0
704,46377,4.0
803,1302,5.0
803,2790,5.0
803,2766,5.0
803,13482,5.0
841,5520,4.0
841,15660,5.0
841,30802,4.0
841,1793,4.0
862,51597,5.0
862,51599,5.0
862,51596,5.0
862,51598,5.0
869,34622,5.0
869,51687,5.0
869,51688,5.0
869,51690,5.0
901,37212,5.0
901,52276,5.0
901,52277,5.0
901,39925,5.0
911,15042,2.0
911,24679,4.0
911,52712,4.0
911,13406,4.0
1022,31540,4.0
1022,56346,4.0
1022,56345,4.0
1022,56342,1.0
1237,3927,2.0
1237,42226,4.0
1237,62326,5.0
1237,62325,4.0
1243,62374,5.0
1243,50707,5.0
1243,43852,5.0
1243,62373,5.0
1266,62850,5.0
1266,28931,4.0
1266,62849,4.0
1266,62848,5.0
1432,65898,4.0
1432,65900,5.0
1432,65899,3.0
1432,37721,5.0
1509,65254,5.0
1509,67226,4.0
1509,41475,5.0
1509,31676,5.0
1751,5030,5.0
1751,10985,3.0
1751,70821,5.0
1751,1019,5.0
1776,4771,5.0
1776,14934,4.0
1776,71058,4.0
1776,6890,4.0
1808,71506,3.0
1808,12300,4.0
1808,51189,5.0
1808,13034,4.0
1809,71509,3.0
1809,52051,4.0
1809,71508,5.0
1809,71507,4.0
1852,46488,5.0
1852,688,5.0
1852,14060,4.0
1852,15095,5.0
1853,31312,5.0
1853,72179,2.0
1853,72178,5.0
1853,72180,5.0
1855,45893,5.0
1855,4052,5.0
1855,72185,5.0
1855,5411,5.0
1856,921,4.0
1856,37526,4.0
1856,72186,5.0
1856,35311,5.0
1903,43104,4.0
1903,51548,3.0
1903,65357,4.0
1903,65554,5.0
1909,72628,4.0
1909,63146,5.0
1909,72629,5.0
1909,72627,4.0
1913,51980,5.0
1913,7614,2.0
1913,49515,5.0
1913,15316,4.0
1922,3487,5.0
1922,72729,5.0
1922,72727,5.0
1922,72728,5.0
1964,73300,2.0
1964,73304,4.0
1964,55313,4.0
1964,73301,5.0
1994,1340,4.0
1994,1445,4.0
1994,644,4.0
1994,50394,3.0
2109,46226,5.0
2109,19645,5.0
2109,7881,5.0
2109,42680,5.0
2113,75133,5.0
2113,490,5.0
2113,43110,4.0
2113,23180,3.0
2118,51803,5.0
2118,75179,3.0
2118,75178,4.0
2118,75177,3.0
2125,3540,5.0
2125,27511,5.0
2125,37372,4.0
2125,75209,4.0
2132,41616,5.0
2132,25628,5.0
2132,75232,4.0
2132,75231,5.0
2144,49608,4.0
2144,11639,4.0
2144,75293,5.0
2144,31754,4.0
2226,76215,2.0
2226,56380,5.0
2226,56381,5.0
2226,4006,4.0
2262,76748,4.0
2262,21504,5.0
2262,76747,5.0
2262,76746,4.0
2277,76868,2.0
2277,76870,5.0
2277,76866,5.0
2277,76869,3.0
2348,34640,5.0
2348,56881,4.0
2348,1852,4.0
2348,14851,5.0
2400,12519,5.0
2400,24775,5.0
2400,920,4.0
2400,78450,4.0
2466,26485,5.0
2466,79691,4.0
2466,79692,5.0
2466,42124,4.0
2495,25979,4.0
2495,48946,5.0
2495,17320,4.0
2495,80211,5.0
2521,64070,5.0
2521,5257,4.0
2521,19053,5.0
2521,55303,5.0
2537,80767,5.0
2537,63327,4.0
2537,6899,5.0
2537,10893,5.0
2539,80769,4.0
2539,80770,5.0
2539,69995,5.0
2539,80771,4.0
2620,43679,5.0
2620,81555,4.0
2620,81556,1.0
2620,81554,4.0
2622,2584,5.0
2622,6912,5.0
2622,14083,3.0
2622,1445,5.0
2649,1065,1.0
2649,2781,3.0
2649,4195,4.0
2649,34009,4.0
2653,60865,5.0
2653,48331,5.0
2653,26026,5.0
2653,9960,1.0
2664,52595,5.0
2664,49759,5.0
2664,81972,5.0
2664,6368,5.0
2665,11454,5.0
2665,490,5.0
2665,81973,5.0
2665,81975,5.0
2667,81978,3.0
2667,56304,2.0
2667,24354,4.0
2667,81979,1.0
2727,65624,1.0
2727,16410,3.0
2727,11780,5.0
2727,43793,2.0
2734,14801,5.0
2734,82684,5.0
2734,27273,5.0
2734,26163,5.0
2757,58787,5.0
2757,17281,3.0
2757,82827,4.0
2757,38327,2.0
2888,77571,5.0
2888,31126,5.0
2888,889,5.0
2888,84655,3.0
2893,84760,1.0
2893,84759,2.0
2893,1975,5.0
2893,45268,5.0
2895,18961,4.0
2895,84764,5.0
2895,32616,4.0
2895,84765,5.0
2959,16425,5.0
2959,12049,5.0
2959,711,5.0
2959,26298,5.0
2972,86055,4.0
2972,86054,4.0
2972,8911,3.0
2972,86056,3.0
2982,2584,3.0
2982,1113,3.0
2982,16425,3.0
2982,2766,3.0
2996,57737,5.0
2996,28696,4.0
2996,15190,3.0
2996,86246,4.0
3003,1113,4.0
3003,73945,5.0
3003,66650,5.0
3003,2741,4.0
3025,86485,5.0
3025,38336,4.0
3025,38722,5.0
3025,86487,4.0
3037,66257,5.0
3037,55971,1.0
3037,64067,3.0
3037,86690,5.0
3049,86835,5.0
3049,86833,5.0
3049,45042,5.0
3049,86836,5.0
3051,86870,5.0
