user_id,item_id,rating
0,31,4
0,36,4
0,37,4
0,38,5
0,39,5
0,40,5
0,41,5
0,42,3
0,43,5
0,44,4
0,45,1
0,46,3
0,47,5
0,48,2
0,49,4
0,50,4
0,51,4
0,52,4
1,129,3
1,131,5
1,132,4
1,134,2
1,135,4
1,136,3
1,138,5
1,139,5
1,140,5
1,141,3
1,142,5
1,143,5
1,144,5
1,145,1
1,20,3
1,147,3
1,148,4
1,149,4
1,150,4
1,151,4
1,152,3
1,153,3
1,155,4
1,156,4
1,158,4
1,159,3
1,161,4
1,162,3
1,42,5
1,164,4
1,165,5
1,166,3
1,167,5
1,47,4
1,168,5
1,169,1
1,170,4
1,171,3
1,172,5
1,52,4
1,173,3
1,174,2
2,123,4
2,5,3
2,127,2
2,196,4
2,128,3
2,197,4
2,199,2
2,200,5
2,201,4
2,202,5
2,41,4
2,203,5
2,166,3
2,204,4
2,205,4
2,168,4
2,206,4
3,211,1
3,212,1
3,213,4
3,214,4
3,215,5
3,43,4
3,216,5
4,317,4
4,318,3
4,27,3
4,320,3
4,321,5
4,323,5
4,324,3
4,326,4
4,327,1
4,48,2
4,328,1
4,109,5
4,332,3
4,333,4
4,334,4
4,335,4
4,336,4
4,337,4
4,338,3
4,339,3
4,3,3
4,340,4
4,341,3
4,342,3
4,343,3
4,345,2
4,346,4
4,348,3
4,9,5
4,349,5
4,350,4
4,351,4
4,352,3
4,353,3
4,354,5
4,355,4
4,357,4
4,358,3
4,359,3
4,360,2
4,361,5
4,362,5
4,363,3
4,364,5
4,365,5
4,366,4
4,367,3
4,156,3
4,368,1
4,369,4
4,371,2
4,372,3
4,38,3
4,43,4
4,374,3
4,376,4
4,377,4
4,379,4
4,380,5
4,381,2
4,171,3
4,382,4
4,383,4
4,384,4
5,410,1
5,411,5
5,412,5
5,414,4
5,415,4
5,416,2
5,417,2
5,112,4
5,418,3
5,419,4
5,420,4
5,421,4
5,2,5
5,422,3
5,423,3
5,134,2
5,424,3
5,425,3
5,20,3
5,426,3
5,427,4
5,428,4
5,45,4
5,381,2
6,22,4
6,151,3
6,406,4
6,433,2
6,189,5
6,92,5
6,434,3
6,48,5
6,113,4
6,156,3
7,485,4
7,90,5
7,321,5
7,322,5
7,189,4
7,92,5
7,486,5
7,487,5
7,31,4
7,488,4
7,490,4
7,48,5
7,491,3
7,109,4
7,328,4
7,417,4
7,493,3
7,113,4
7,494,3
7,495,4
7,337,3
