user_id,item_id,rating,timestamp
0,0,5,978300760
0,1,3,978302109
0,2,3,978301968
0,3,4,978300275
0,5,3,978302268
0,6,5,978302039
0,7,5,978300719
0,8,4,978302268
1,53,5,978298709
1,54,4,978299000
1,55,4,978299620
1,56,3,978299351
1,57,4,978299297
1,58,4,978299913
1,59,5,978299297
1,61,3,978298905
1,62,3,978299809
1,63,5,978298542
1,64,4,978298151
1,65,3,978299941
1,67,2,978298458
1,68,5,978298958
1,70,4,978298434
1,71,3,978298151
1,18,4,978298673
1,75,3,978299712
1,76,4,978298625
1,77,3,978299120
2,175,4,978298147
2,58,3,978297867
2,177,4,978298147
2,178,3,978297068
2,180,4,978297867
2,64,4,978297600
2,181,3,978297095
2,184,3,978298147
3,63,5,978294008
3,64,3,978293924
3,209,4,978294260
4,218,4,978243170
4,219,4,978242607
4,220,5,978244759
4,221,3,978245037
4,223,5,978243121
4,224,4,978245513
4,225,4,978245645
4,226,3,978245695
4,227,2,978244493
4,229,4,978245334
4,230,3,978244540
4,62,1,978245645
4,231,4,978241981
4,232,3,978245422
4,233,4,978245513
4,234,1,978244001
4,68,2,978243803
4,236,5,978241112
4,237,2,978243170
4,238,4,978245829
4,239,4,978244692
4,78,4,978245645
4,240,1,978245740
4,241,3,978243937
4,184,5,978241556
4,242,3,978245334
4,243,4,978243085
4,244,4,978244177
4,245,3,978244808
4,246,3,978244025
4,247,4,978244759
4,248,3,978242934
5,385,5,978236670
5,386,4,978236670
5,388,4,978237691
5,389,5,978237570
5,14,5,978237767
5,390,4,978237570
5,391,5,978236670
5,392,4,978236075
5,83,4,978237909
5,244,2,978237379
5,25,5,978237570
6,58,4,978234737
6,62,5,978234842
6,68,3,978234737
6,237,3,978234737
6,78,5,978234786
7,221,3,978229571
7,435,3,978230120
7,222,5,978229391
7,59,3,978230852
7,226,4,978230052
7,437,5,978229702
7,438,4,978230852
7,62,5,978229172
7,235,3,978230483
7,439,3,978230435
7,442,5,978230943
7,244,5,978229857
7,85,5,978230550
7,444,3,978230248
7,445,3,978230943
7,93,3,978229293
7,446,3,978231493
7,94,2,978229293
7,97,5,978229138
7,36,4,978231592
7,447,3,978231121
7,39,4,978230611
8,226,4,978226248
8,437,3,978226081
8,438,4,978226302
8,387,3,978225709
8,439,3,978226315
8,237,4,978225581
8,21,4,978225898
8,242,5,978226093
8,85,4,978226081
8,444,3,978225827
8,246,4,978225924
8,515,4,978226165
8,39,3,978226041
8,516,4,978225686
8,40,5,978225952
8,256,3,978226041
8,104,4,978225333
9,551,5,978228212
9,58,4,978224925
9,60,3,978228408
9,552,5,978226378
9,553,3,978227125
9,438,5,978226319
9,554,4,978228655
9,555,3,978230837
9,556,3,978229208
9,557,5,979167795
9,236,3,978226572
9,558,4,978229409
9,77,5,978226866
9,182,3,978225997
9,560,3,978226254
9,561,3,978230562
9,443,5,978228153
9,563,5,978227300
9,391,5,978228911
9,184,4,978226026
9,187,4,978227051
9,565,5,978227696
9,566,3,978228747
9,567,5,978227028
9,33,4,978225900
9,569,2,978229894
9,97,4,978226128
9,98,4,978230253
9,570,4,978226103
9,515,2,978225900
9,39,5,978226319
9,571,4,978227087
9,40,5,978226474
9,572,4,978229979
9,575,3,978229917
9,576,4,978227763
9,577,4,978229171
9,578,4,978224779
9,517,4,978295480
9,579,4,978230063
9,580,4,978227842
9,110,4,978227188
9,581,5,978226425
9,582,3,978228848
