user_id,item_id,rating,timestamp
0,48,5.0,978301619
0,49,4.0,978302149
0,50,4.0,978302174
0,51,4.0,978301398
0,52,4.0,978302091
1,166,3.0,978299861
1,167,5.0,978298413
1,47,4.0,978298478
1,168,2.0,978298881
1,169,3.0,978299250
1,170,3.0,978299143
1,171,5.0,978299686
1,172,2.0,978299200
1,52,5.0,978299418
1,173,1.0,978299535
1,174,5.0,978298652
2,166,4.0,978297757
2,204,4.0,978297539
2,205,4.0,978297777
2,168,4.0,978297068
2,206,5.0,978298079
3,43,5.0,978294230
3,216,5.0,978294230
4,368,1.0,978241390
4,369,3.0,978245687
4,371,2.0,978245663
4,372,4.0,978241981
4,38,3.0,978243054
4,43,4.0,978242977
4,374,3.0,978245065
4,376,4.0,978244962
4,377,3.0,978244001
4,379,4.0,978244852
4,380,3.0,978241981
4,381,4.0,978244603
4,171,1.0,978241112
4,382,2.0,978245829
4,383,3.0,978244808
4,384,4.0,978244493
5,20,3.0,978237034
5,426,5.0,978237691
5,427,4.0,978236876
5,428,4.0,978236567
5,45,4.0,978237767
5,381,4.0,978237444
6,48,5.0,978234786
6,113,4.0,978234607
6,156,3.0,978234810
7,150,4.0,978229347
7,365,5.0,978230184
7,506,5.0,978229900
7,507,2.0,978231031
7,508,3.0,978231031
7,156,3.0,978229138
7,509,5.0,978230356
7,372,3.0,978230052
7,510,5.0,978230649
7,43,5.0,978229138
7,512,5.0,978229347
7,383,4.0,978230013
8,546,3.0,978225303
8,547,4.0,978225429
8,504,4.0,978226041
8,505,5.0,978226066
8,153,3.0,978225401
8,38,4.0,978225984
8,41,5.0,978224859
8,43,4.0,978225429
8,549,3.0,978226006
9,3,4.0,978225070
9,760,3.0,978230671
9,761,4.0,978226349
9,762,4.0,978228074
9,763,3.0,978226212
9,134,5.0,979167660
9,424,5.0,978226739
9,764,4.0,978224821
9,765,5.0,978225779
9,766,4.0,978226968
9,768,3.0,978224675
9,769,5.0,979167867
9,770,4.0,978225630
9,547,5.0,978226546
9,771,4.0,978229007
9,772,3.0,978229753
9,200,5.0,978228118
9,202,4.0,978227696
9,774,4.0,978230426
9,775,4.0,978229028
9,776,4.0,978230132
9,777,4.0,978228798
9,778,4.0,978227003
9,779,3.0,978227300
9,205,5.0,978227934
9,780,4.0,978228307
9,781,5.0,978228989
9,377,5.0,978227300
9,782,3.0,978228575
9,783,4.0,978228966
9,784,4.0,978229459
9,174,3.0,979167795
9,785,5.0,978229624
10,336,5.0,978219776
10,343,4.0,978903927
10,134,2.0,978902561
10,355,5.0,978219733
10,827,3.0,978902560
10,771,5.0,978903658
10,547,3.0,978903076
10,828,1.0,978902586
10,156,5.0,978219776
10,509,3.0,978902350
10,371,3.0,978220867
10,170,4.0,978903024
11,837,3.0,978218568
11,174,3.0,978220216
12,767,3.0,978202393
12,546,3.0,978201811
12,26,5.0,978201368
12,859,3.0,978202283
12,156,3.0,978201825
12,836,3.0,978202089
12,202,3.0,978201969
12,205,3.0,978202417
12,783,4.0,978202417
13,317,2.0,978200800
13,134,4.0,978201003
13,869,3.0,978200300
14,113,4.0,978197998
14,917,4.0,978198040
14,918,2.0,978198493
14,919,3.0,978196499
14,3,4.0,978196499
14,343,3.0,978198601
14,922,3.0,978198150
14,825,2.0,978199023
14,923,4.0,978196775
14,134,4.0,978196817
14,924,2.0,978199167
14,925,4.0,978198581
14,507,4.0,978198834
14,156,3.0,978198062
14,202,1.0,978197517
14,926,4.0,978198442
14,509,3.0,978198818
15,942,3.0,978174535
15,943,2.0,978174639
15,944,5.0,978174443
16,113,4.0,978160075
16,917,4.0,978159989
16,121,3.0,978159013
16,348,4.0,978160304
16,858,3.0,978160848
16,134,4.0,978159467
16,351,4.0,978160129
16,1008,5.0,978160680
16,26,3.0,978160616
16,1010,3.0,978160792
16,859,5.0,978160437
16,1011,4.0,978160337
16,156,4.0,978159568
16,1012,3.0,978159989
16,1013,3.0,978158536
16,1014,5.0,978160157
16,217,5.0,978160490
16,1017,4.0,978160680
17,343,3.0,978155766
17,922,1.0,978155685
17,130,1.0,978153557
17,1103,1.0,978154005
17,858,4.0,978154505
17,923,4.0,978154907
17,1104,1.0,978153912
17,1105,1.0,978152319
17,424,4.0,978152486
17,767,4.0,978153476
17,770,5.0,978155529
17,26,5.0,978152454
17,1107,3.0,978155721
17,1011,4.0,978155706
17,156,1.0,978153104
17,836,4.0,978152203
17,200,3.0,978154505
17,202,1.0,978153540
17,775,3.0,978153683
17,776,1.0,978153771
17,205,5.0,978153303
17,1108,1.0,978155392
17,217,5.0,978153104
17,1016,4.0,978154452
17,1109,5.0,978152999
18,92,4.0,978555662
18,748,3.0,978147099
18,538,3.0,978557438
18,754,3.0,978557357
18,755,5.0,978147137
18,48,4.0,978146863
18,756,3.0,978556835
18,760,4.0,978555553
18,762,3.0,978147017
18,923,5.0,978556129
18,137,3.0,978147099
18,1161,2.0,978555881
18,1008,3.0,978557301
18,547,4.0,978554335
18,147,3.0,978300207
18,869,5.0,978850058
18,26,3.0,978557204
18,1162,3.0,978300170
18,205,3.0,978146747
18,217,3.0,978146863
18,780,2.0,978555222
19,92,5.0,978143508
19,48,4.0,978143106
20,1169,3.0,978138977
20,1170,1.0,978138977
21,113,2.0,978154833
21,336,4.0,978136426
21,343,4.0,978153864
21,922,4.0,978136512
21,130,4.0,978136903
21,348,3.0,978136719
21,762,1.0,978154862
21,350,4.0,978153553
21,134,2.0,978134929
21,424,2.0,978153058
21,137,3.0,978136857
21,769,3.0,978153733
21,772,2.0,978153321
21,828,3.0,978154074
21,200,2.0,978153190
21,509,4.0,978135833
21,371,4.0,978153733
21,1014,4.0,978136335
21,1230,3.0,978153283
21,775,4.0,978154833
21,217,4.0,978136462
21,1018,2.0,978134049
21,52,3.0,978135868
21,174,4.0,978135568
22,922,3.0,978462554
22,762,3.0,978464645
22,350,4.0,978465505
22,134,3.0,978465153
22,1289,3.0,978465419
22,424,4.0,978461410
22,1290,5.0,978464541
22,767,2.0,978461410
22,769,5.0,978465537
22,1291,5.0,978464598
22,770,5.0,978462275
22,26,4.0,978461308
22,1107,4.0,978462452
22,1011,4.0,978462735
22,371,3.0,978465537
22,1014,4.0,978464076
22,775,3.0,978464211
22,1293,2.0,978461308
22,1294,3.0,978462095
22,217,5.0,978463893
22,1017,2.0,978464541
22,377,3.0,978465537
22,379,2.0,978460152
22,380,4.0,978460479
22,1018,5.0,978462640
23,434,5.0,978132463
23,105,4.0,978132516
23,48,5.0,978132794
23,1313,4.0,978132083
23,134,4.0,978134987
23,424,4.0,978132163
23,766,5.0,978134882
23,547,5.0,978131980
23,147,4.0,978132818
23,776,1.0,978134085
23,174,4.0,978132702
24,406,5.0,978131157
24,322,4.0,978132180
24,189,4.0,978132347
24,48,5.0,978130711
24,113,4.0,978132180
24,762,2.0,978132424
24,775,4.0,978132563
25,943,2.0,978146155
25,1313,3.0,978146686
25,1169,1.0,978146180
25,825,2.0,978139357
25,858,3.0,978142615
25,1435,2.0,978141322
25,423,5.0,978141095
25,424,3.0,978141053
25,137,2.0,978141204
25,765,2.0,978146594
25,1437,2.0,978146876
25,771,3.0,978141896
25,547,4.0,978140830
25,147,3.0,978146594
25,925,3.0,978139611
25,828,3.0,978144865
25,26,2.0,978143197
25,1438,3.0,978139421
25,507,3.0,978139159
25,508,5.0,978142080
25,156,2.0,978144088
25,200,3.0,978146900
25,1439,3.0,978139333
25,1440,3.0,978147163
25,1442,5.0,978141306
25,510,4.0,978143842
25,776,2.0,978144615
25,1443,2.0,978140333
25,777,2.0,978141807
25,1108,2.0,978145709
25,217,4.0,978143197
25,52,3.0,978146594
25,174,3.0,978142647
26,743,5.0,978129176
26,319,3.0,978128865
26,424,2.0,978129662
26,1292,3.0,978129332
26,1457,5.0,978129795
26,26,5.0,978129642
27,134,5.0,978125846
27,12,4.0,978126189
27,765,3.0,978126031
27,766,4.0,978125607
27,26,3.0,978126452
27,1014,3.0,978126224
27,217,3.0,978125772
27,170,4.0,978126330
27,174,5.0,978125501
28,1477,3.0,978136098
28,1478,4.0,978123040
28,113,4.0,978136129
28,1479,5.0,978135913
28,1480,3.0,978136098
28,199,5.0,978135833
28,156,2.0,978136129
28,217,5.0,978135833
28,1109,2.0,978135913
29,337,3.0,978122054
29,1105,2.0,978121745
29,26,5.0,978121513
29,1490,4.0,978121513
30,1476,3.0,978121516
30,1428,4.0,978120364
30,113,5.0,978120551
30,1313,4.0,978121088
30,766,3.0,978121038
30,199,5.0,978121038
30,547,5.0,978120971
30,770,5.0,978120938
30,1517,3.0,978121038
30,1519,2.0,978121516
31,419,4.0,978121564
31,769,5.0,978122598
31,380,4.0,978119403
31,1525,4.0,978121792
32,495,4.0,978558828
32,336,5.0,978559044
32,121,3.0,978109054
32,922,4.0,978109863
32,134,2.0,978108939
32,1105,2.0,978108939
32,12,3.0,978558808
32,1584,5.0,978557952
32,765,2.0,978109513
32,1585,5.0,978110149
32,199,3.0,978557866
32,1586,3.0,978109250
32,770,5.0,978982541
32,1517,3.0,978982693
32,147,3.0,978558041
32,925,4.0,978109382
32,1106,4.0,978109271
32,152,4.0,978110486
32,1587,4.0,978108740
32,26,4.0,978982390
32,1588,4.0,978982608
32,1590,4.0,978109833
32,156,4.0,978109945
32,428,5.0,978109166
32,510,2.0,978558122
32,205,4.0,978109760
32,217,4.0,978108794
32,1017,3.0,978110427
32,1295,4.0,978558596
32,172,2.0,978110466
32,52,5.0,978558517
32,174,3.0,978982390
33,1603,1.0,978104279
33,3,4.0,978103898
33,760,2.0,978103517
33,423,2.0,978104169
33,134,5.0,978104329
33,424,3.0,978104105
33,769,1.0,978103277
33,771,4.0,978103198
33,547,5.0,978103052
33,772,4.0,978104190
33,26,5.0,978102839
33,1604,2.0,978104253
33,1230,4.0,978104212
33,837,3.0,978103898
34,134,5.0,978100781
34,1584,4.0,978100951
34,765,3.0,978101170
34,766,4.0,978101661
34,1586,3.0,978102826
